case_idx,case_id,molecule_id,conformer_id,heavy_atom_count,status,evaluator_decision,evaluator_relation,evaluator_reason,reason_family,exact_smiles,stereo_equivalent,diagnostic_error,charge_consistent,radical_consistent,runtime_ms,error,reference_smiles,predicted_smiles,xyz,source_conformer_count,relativeenergy_kcal_mol
37,geom-drugs-e1e28eec7c1991df-c0,e1e28eec7c1991df,0,21,ok,not_equivalent,none,Not equivalent: non-metal connectivity differs.,suspected_tautomer_protomer,False,False,,True,True,82.90915300312918,,O/C(=C\c1ccc2ccccc2n1)c1ccc(O)cc1O,O=C(C=C1C=Cc2ccccc2N1)c1ccc(O)cc1O,"34
GEOM DRUGS O/C(=C\c1ccc2ccccc2n1)c1ccc(O)cc1O conformer 0
O -0.4655410159 -1.2728915202 -0.1468215939
C -0.9668690896 -0.1134839649 -0.0780142833
C -0.1450365424 1.0394201668 0.0460907224
C 1.2367349165 0.9868967238 0.0655392330
N 1.8834340738 -0.2021768418 -0.0506059161
C 3.2328251177 -0.3492150451 -0.0479675225
C 3.8179891451 -1.6136644596 -0.1732306236
C 5.1882792326 -1.7367209021 -0.1683507816
C 6.0029257189 -0.6117218309 -0.0394031450
C 5.4408280353 0.6379284527 0.0852331300
C 4.0510427797 0.7946208293 0.0837390817
C 3.4029186609 2.0631175873 0.2112401105
C 2.0554521945 2.1569940195 0.2031860433
H 1.5578891842 3.1092998094 0.2991462000
H 4.0201916013 2.9438895298 0.3144493197
H 6.0649452025 1.5138393003 0.1857753676
H 7.0760770257 -0.7258896645 -0.0373315100
H 5.6387774929 -2.7130646008 -0.2648432961
H 3.1806518194 -2.4794898655 -0.2724228505
H -0.6018831272 2.0052549409 0.1622131401
C -2.4319394943 0.0403336015 -0.0883814432
C -3.0657797753 1.2648998363 -0.3101385637
C -4.4353164099 1.3908989364 -0.2797224812
C -5.2312303161 0.2761385679 -0.0127010623
C -4.6351665620 -0.9555606067 0.1880669491
C -3.2509958851 -1.0941017256 0.1329785751
O -2.7431626061 -2.3173092669 0.3058480279
H -1.7615720153 -2.2362580463 0.1662589815
H -5.2418178837 -1.8259817729 0.3747427184
O -6.5842918081 0.3580322571 0.0428817911
H -6.8643120193 1.2663938131 -0.1243311056
H -4.8980616859 2.3513245308 -0.4637960089
H -2.4793806791 2.1403862723 -0.5390270525
H 1.2421998614 -1.0067329936 -0.1357437562
",1,0.0
75,geom-drugs-946c4418ff68b792-c0,946c4418ff68b792,0,27,ok,not_equivalent,none,Not equivalent: non-metal connectivity differs.,suspected_tautomer_protomer,False,False,,True,True,29.098061000695452,,N#CCCCn1c(O)c(N=NC(=O)C(O)c2ccccc2)c2ccccc21,N#CCCCN1C(=O)C(=NNC(=O)[C@H](O)c2ccccc2)c2ccccc21,"45
GEOM DRUGS N#CCCCn1c(O)c(N=NC(=O)C(O)c2ccccc2)c2ccccc21 conformer 0
N 1.0045352452 0.5197639477 1.9758673938
C 1.7486604403 1.3777228165 1.8400708634
C 2.7079463043 2.4419661367 1.6821319350
C 4.0213733766 1.9283439650 1.0736714970
H 4.7952178777 2.6873905694 1.1987952085
H 4.3361772933 1.0251994530 1.6018313643
C 3.8708801625 1.6302142845 -0.4222884765
N 2.8201269363 0.6804540921 -0.6791039586
C 1.5515437234 1.0558766553 -1.0287893730
C 0.7261780912 -0.1854210998 -1.0485821170
N -0.5340074643 -0.2907037468 -1.2613104245
N -1.2591020138 0.7801445673 -1.5590096432
C -2.6222493746 0.7192791419 -1.6487132355
O -3.2787356882 1.6724949857 -2.0068782837
C -3.2795906143 -0.5783924059 -1.1973060457
C -3.2549365551 -0.5059522732 0.3247981304
C -4.2297030955 0.2190676756 0.9965855105
C -4.1912125930 0.3237627645 2.3757862411
C -3.1721163308 -0.2811774786 3.0908573436
C -2.1974052953 -1.0035064133 2.4233821517
C -2.2404868500 -1.1206273204 1.0459989374
H -1.4776378676 -1.6815909756 0.5291865276
H -1.3963177204 -1.4731309361 2.9731817029
H -3.1374704463 -0.1894243973 4.1665577097
H -4.9556613839 0.8869049493 2.8910188721
H -5.0222160848 0.6969162435 0.4404075839
O -4.5709417497 -0.6574623806 -1.7300428400
H -4.8420424061 0.2492864649 -1.9464423884
H -2.7042173661 -1.4432420284 -1.5401142029
C 1.6193768088 -1.2654412535 -0.6958756123
C 1.4262509903 -2.6265957113 -0.5507915536
C 2.5091821354 -3.4072990938 -0.1738290486
C 3.7525033942 -2.8370282349 0.0507651579
C 3.9602166712 -1.4695298551 -0.0895799528
C 2.8839590437 -0.6930303328 -0.4639344180
H 4.9349865314 -1.0423873644 0.0893274502
H 4.5809244496 -3.4645970957 0.3434138663
H 2.3838261352 -4.4721870002 -0.0523867154
H 0.4560076626 -3.0606901078 -0.7301332672
O 1.1992765815 2.2004326785 -1.2659488162
H -0.8049042740 1.6904109947 -1.6827257377
H 3.5983682421 2.5458709569 -0.9567226188
H 4.8118781940 1.2484315353 -0.8282628031
H 2.2668189512 3.2103835896 1.0402461463
H 2.8927370018 2.8743922675 2.6693842982
",96,0.0
307,geom-drugs-262dd0cb2a24076d-c4,262dd0cb2a24076d,4,30,ok,inconclusive,none,Inconclusive: bounded resonance search reached its configured limit.,sulfoxide_neutral_vs_charge_separated,False,False,,True,True,201.83523499872535,,CCOc1ccc(CCNC(=O)c2ccc(CS(=O)Cc3ccc(Cl)cc3)o2)cc1,CCOc1ccc(CCNC(=O)c2ccc(C[S@@+]([O-])Cc3ccc(Cl)cc3)o2)cc1,"54
GEOM DRUGS CCOc1ccc(CCNC(=O)c2ccc(CS(=O)Cc3ccc(Cl)cc3)o2)cc1 conformer 4
C -5.8376110017 -0.3891735573 0.3409945298
C -4.7979253039 0.0184510411 -0.6977966496
O -3.9668033293 -1.0631476515 -1.0875974382
C -3.0001968027 -1.5185815690 -0.2498743905
C -2.3420582096 -2.6799265740 -0.6671727569
C -1.3133740077 -3.2135808947 0.0777735790
C -0.9053989403 -2.6148589184 1.2657930974
C -1.5666097361 -1.4657751768 1.6773965558
C -2.6039548461 -0.9176756611 0.9404777227
H -3.0866432854 -0.0238595079 1.3010210006
H -1.2786324022 -0.9875289777 2.6033369474
C 0.2725951489 -3.1469700847 2.0349074792
H 0.2196881390 -2.8152088108 3.0728886224
H 0.2791038813 -4.2374698327 2.0188211080
C 1.5799911077 -2.6380835155 1.4099349080
N 1.5495454712 -1.2000380927 1.3328808306
C 2.6131619817 -0.3902460526 1.5072831535
O 3.7407322717 -0.7677127325 1.7575465477
C 2.2531515254 1.0361846120 1.3624289700
C 3.0307101176 2.1575353477 1.2682228255
C 2.1431525288 3.2451352476 1.1039333523
C 0.8827375000 2.7175991478 1.1207592784
O 0.9418231786 1.3784482663 1.2767524746
C -0.4627771311 3.3168873397 1.0138277658
H -0.4483601842 4.2943687531 0.5374550477
H -0.9467188136 3.4045050992 1.9892395175
S -1.5702117515 2.1540711284 0.0581557718
O -2.8557022792 2.8493012940 -0.0279852061
C -0.7530848501 2.3848230450 -1.6091386842
C 0.3087271472 1.3545213448 -1.7451610962
C -0.0493462803 0.0093929277 -1.7140236859
C 0.9090245950 -0.9815910238 -1.7795963228
C 2.2479936155 -0.6291372866 -1.8662665446
C 2.6240747946 0.7038362423 -1.9059946308
C 1.6533649972 1.6879802536 -1.8489054548
H 1.9499284335 2.7261065787 -1.8821463621
H 3.6670341989 0.9686588614 -1.9747137646
Cl 3.4543921711 -1.8602670735 -1.9113187321
H 0.6179536504 -2.0193706380 -1.7594207162
H -1.0909978806 -0.2638525222 -1.6376973819
H -1.5660237607 2.2267381621 -2.3178827287
H -0.3803131281 3.4020711808 -1.6999679156
H 2.4033778466 4.2784331039 0.9974164136
H 4.0992454963 2.1881209561 1.3095042437
H 0.6625996159 -0.7916863077 1.0744475345
H 1.6986914972 -3.0638927891 0.4058935588
H 2.4477494087 -2.9220854304 2.0092368086
H -0.8217652966 -4.1140167294 -0.2617229023
H -2.6607289605 -3.1423799306 -1.5882818653
H -4.2021725198 0.8670847203 -0.3446822786
H -5.2980424089 0.3126947244 -1.6245225930
H -5.3608799574 -0.7236610580 1.2591526858
H -6.4494509914 -1.2018007751 -0.0436902997
H -6.4762737950 0.4601802112 0.5655050884
",427,0.0
314,geom-drugs-b57f8eb1aaccf834-c0,b57f8eb1aaccf834,0,31,ok,not_equivalent,none,Not equivalent: non-metal connectivity differs.,suspected_tautomer_protomer,False,False,,True,True,47.5996919994941,,Cc1c(N=Cc2c(O)n(Cc3ccco3)c(=O)[nH]c2=O)c(=O)n(-c2ccccc2)n1C,Cc1c(NC=C2C(=O)NC(=O)N(Cc3ccco3)C2=O)c(=O)n(-c2ccccc2)n1C,"50
GEOM DRUGS Cc1c(N=Cc2c(O)n(Cc3ccco3)c(=O)[nH]c2=O)c(=O)n(-c2ccccc2)n1C conformer 0
C -1.5055839556 -3.0216055182 0.8211562359
C -2.2015146949 -1.7723631367 0.4209552067
C -1.6827664636 -0.5310653010 0.1613617847
N -0.3595636249 -0.1677650986 0.2891632844
C 0.1761529727 1.0121422370 0.0408207996
C 1.5339540806 1.2548345263 0.2064248415
C 2.4190603067 0.2126923237 0.6652212325
O 2.0414171839 -0.9278144036 0.9460169067
N 3.7578743517 0.5366512107 0.7994635714
C 4.2945983738 1.7855688040 0.5472607272
O 5.4670342896 2.0323321977 0.7031845243
N 3.4014668851 2.7306957062 0.1181804657
C 2.0341619303 2.5811248432 -0.0951800916
O 1.3786495805 3.5176770304 -0.4953689283
H 3.7882439100 3.6481848109 -0.0723125849
C 4.6950880103 -0.5093292125 1.2128884423
C 5.3846576301 -1.1110465237 0.0344621955
C 6.4326381623 -0.6652082794 -0.7166989180
C 6.6293668471 -1.6330875236 -1.7310462838
C 5.6858514850 -2.5900103058 -1.5207521698
O 4.9261002170 -2.2828306866 -0.4578005720
H 5.4627620392 -3.5036470608 -2.0352443928
H 7.3700187729 -1.6157327894 -2.5038104581
H 6.9817309070 0.2395352762 -0.5579470578
H 5.4271514841 -0.0499237480 1.8797089435
H 4.1134349458 -1.2752080361 1.7289787756
H -0.4647678507 1.8154222673 -0.3031526172
H 0.3230692916 -0.8716906042 0.6112416667
C -2.7706242532 0.3438020220 -0.2497794425
O -2.7779821995 1.5185566955 -0.5564431630
N -3.8959372892 -0.4770850052 -0.2109906237
C -5.2200798187 -0.0101206803 -0.2090031830
C -5.6118146830 0.9100973741 -1.1752336803
C -6.9070963946 1.3935766342 -1.1702411620
C -7.8167109447 0.9553852847 -0.2219951631
C -7.4213513263 0.0441607685 0.7428859117
C -6.1241984149 -0.4343412089 0.7610513763
H -5.8063759042 -1.1167795603 1.5356890402
H -8.1212989037 -0.2880783550 1.4950072307
H -8.8289080038 1.3299028953 -0.2277739951
H -7.2081818905 2.1133881284 -1.9158637536
H -4.8952691342 1.2525173187 -1.9029944007
N -3.5616791041 -1.7378330244 0.2688381770
C -4.3258376866 -2.8844584799 -0.1605339101
H -5.3602926693 -2.5869577571 -0.3163022889
H -4.2898790032 -3.6483907765 0.6149064888
H -3.9355689910 -3.3023788143 -1.0938946372
H -1.9613766444 -3.4424676866 1.7160599894
H -1.5665389761 -3.7670562567 0.0279576315
H -0.4572866164 -2.8225540059 1.0247972842
",17,0.0
420,geom-drugs-538ac08d1ddc0599-c0,538ac08d1ddc0599,0,28,ok,inconclusive,none,Inconclusive: bounded resonance search reached its configured limit.,sulfoxide_neutral_vs_charge_separated,False,False,,True,True,151.90111999982037,,Cc1oc(-c2ccccc2)nc1CS(=O)CC(=O)N1CCc2ccccc2C1,Cc1oc(-c2ccccc2)nc1C[S@+]([O-])CC(=O)N1CCc2ccccc2C1,"50
GEOM DRUGS Cc1oc(-c2ccccc2)nc1CS(=O)CC(=O)N1CCc2ccccc2C1 conformer 0
C -2.8305973927 -2.1031999168 2.1322878781
C -1.9666620249 -1.8840640303 0.9510221717
C -2.2423399852 -1.4526053227 -0.3211741528
N -1.0594292719 -1.3307430073 -1.0003753484
C -0.1297672101 -1.6908928051 -0.1619849289
C 1.2898855411 -1.7432168201 -0.4260637474
C 1.7813456900 -1.2822825335 -1.6469736116
C 3.1354459384 -1.3281011556 -1.9077770048
C 4.0112431691 -1.8329587713 -0.9597536902
C 3.5276037002 -2.2962417050 0.2527144533
C 2.1742008091 -2.2540551913 0.5233296836
H 1.7917499715 -2.6221295584 1.4638195252
H 4.2094208234 -2.6949406936 0.9892899163
H 5.0701225685 -1.8681794769 -1.1673960001
H 3.5130325585 -0.9701785902 -2.8537656464
H 1.0836005309 -0.9017031572 -2.3756974681
O -0.6247542663 -2.0378305082 1.0478959834
C -3.5303158979 -1.1120869492 -0.9369293780
H -4.3367580857 -1.7345574901 -0.5537896252
H -3.4819069616 -1.1807301677 -2.0216276095
S -4.0773997706 0.6588765045 -0.5966422142
O -4.8461658217 1.0168696760 -1.7897667908
C -2.3884347942 1.3988338134 -0.8546504736
C -1.7702371180 1.3579548054 0.5183665069
O -2.4600616494 1.0377827740 1.4771542965
N -0.4749323529 1.6997191816 0.6492862353
C 0.1060038130 1.8107857331 1.9715732466
C 1.3130990539 0.8887874613 2.0822907299
C 2.2920829533 1.2097312386 0.9913702547
C 3.6477926141 0.9519274705 1.1506886968
C 4.5511756164 1.2598467596 0.1528944150
C 4.1039501585 1.8376450678 -1.0236217114
C 2.7580646619 2.0962248246 -1.1913088474
C 1.8431613995 1.7845774692 -0.1922052044
C 0.3858914874 2.0878698170 -0.4424237924
H 0.0817403058 1.5573732324 -1.3480006354
H 0.2790693226 3.1672121621 -0.6360959373
H 2.4045626693 2.5463470061 -2.1080078660
H 4.8030919849 2.0864315738 -1.8075680282
H 5.6017903528 1.0549782413 0.2925811722
H 3.9912923203 0.5059846898 2.0727988961
H 0.9859422551 -0.1496391800 1.9871881199
H 1.7833873531 1.0018645542 3.0603807894
H 0.4147779038 2.8501893515 2.1362905948
H -0.6684360402 1.5462149832 2.6931825167
H -1.8489699513 0.8274366397 -1.6067516270
H -2.5348781035 2.4233064004 -1.1964216049
H -2.2971599303 -2.6828197586 2.8808142868
H -3.7411238519 -2.6238975193 1.8443491114
H -3.1050086608 -1.1358453923 2.5549711268
",86,0.0
475,geom-drugs-1db8b3f1cf74bdd9-c1,1db8b3f1cf74bdd9,1,20,ok,not_equivalent,none,Not equivalent: non-metal connectivity differs.,suspected_tautomer_protomer,False,False,,True,True,14.048648998141289,,COc1ccc(N=N/C(=C\O)C(=O)c2cccs2)cc1,COc1ccc(NN=C(C=O)C(=O)c2cccs2)cc1,"32
GEOM DRUGS COc1ccc(N=N/C(=C\O)C(=O)c2cccs2)cc1 conformer 1
C -5.7114979944 -2.0201823595 -0.3013010399
H -5.2469522029 -2.6568208488 0.4580117138
O -5.4678526432 -0.6558688822 -0.0504708450
C -4.1873477992 -0.2117744649 -0.0368611221
C -4.0193983330 1.1531869776 0.2230340696
C -2.7633535948 1.7093414067 0.2612808616
C -1.6364495713 0.9122873152 0.0410167053
C -1.7993338188 -0.4444414076 -0.2242255108
C -3.0617884827 -1.0026507446 -0.2611426898
H -3.1572021575 -2.0561210942 -0.4689350579
H -0.9276474639 -1.0523520993 -0.4002755048
N -0.3892085891 1.5083600776 0.0889515957
N 0.7172965652 0.8564260425 -0.0605891741
C 1.8731844923 1.4763428867 -0.0728422687
C 2.0329490172 2.9150731705 0.0317607184
O 1.1194975782 3.7105683780 0.1971267967
H -0.3494842744 2.5286660951 0.2180023637
H 3.0757759551 3.2575018289 -0.0511982026
C 3.0999410054 0.6716748467 -0.2352531149
O 4.1753418087 1.2009106622 -0.4742596987
C 2.9990638980 -0.7735058698 -0.0787160941
C 4.0468676113 -1.6489960402 -0.2392305668
C 3.6933748246 -2.9852392693 0.0016773504
C 2.3834079479 -3.1151944323 0.3527996158
S 1.5585522714 -1.6118112420 0.3825097820
H 1.8515331086 -4.0160191806 0.5890504573
H 4.3780681996 -3.8105326116 -0.0768077151
H 5.0288233660 -1.3146899341 -0.5214862616
H -2.6424833974 2.7633108090 0.4629235129
H -4.8992469171 1.7527814034 0.3915811731
H -5.3559116098 -2.3155340703 -1.2932839567
H -6.7928592964 -2.1380827646 -0.2571897124
",7,0.0
533,geom-drugs-23f20705af82fdca-c6,23f20705af82fdca,6,18,ok,not_equivalent,none,Not equivalent: non-metal connectivity differs.,suspected_tautomer_protomer,False,False,,True,True,12.178589000541251,,CCOC(=O)N=Nc1c(O)n(C)c2ccccc12,CCOC(=O)NN=C1C(=O)N(C)c2ccccc21,"31
GEOM DRUGS CCOC(=O)N=Nc1c(O)n(C)c2ccccc12 conformer 6
C -5.2577085748 -1.2250987946 -1.0237005044
C -4.6264946041 -1.1851886337 0.3605547988
H -5.1740442721 -0.4899647316 1.0054388290
H -4.6061929615 -2.1780948638 0.8139233168
O -3.2569659609 -0.7857482717 0.3004739423
C -3.0284966515 0.5222819001 0.2129622629
O -3.8577642833 1.3942061152 0.2138386267
N -1.6800462583 0.8042883318 0.1299095109
N -0.7602165328 -0.1512003467 0.1280494255
C 0.4836448701 0.1540790569 0.0537567424
C 1.0908853016 1.5163049612 -0.0358318788
N 2.4452209271 1.3393228710 -0.0934147561
C 2.7673301559 -0.0117448881 -0.0496548726
C 4.0093040556 -0.6115035802 -0.0836798769
C 4.0563608418 -1.9997016796 -0.0249390615
C 2.9005950176 -2.7607892937 0.0648877751
C 1.6510669720 -2.1580213742 0.0991081689
C 1.5895429412 -0.7782727232 0.0411756666
H 0.7440899612 -2.7362416250 0.1688834762
H 2.9759717729 -3.8365446543 0.1087330431
H 5.0167578122 -2.4925812794 -0.0499110906
H 4.9153439656 -0.0301386902 -0.1532286398
C 3.3912231443 2.4171758793 -0.1867713251
H 4.0650948732 2.4128940662 0.6724287582
H 3.9768450150 2.3365907846 -1.1049033456
H 2.8244589610 3.3477312151 -0.1986060643
O 0.5166578665 2.5933985845 -0.0561093193
H -1.4059501108 1.7894018787 0.0727047773
H -4.6831810797 -1.8745439614 -1.6795958525
H -6.2738196655 -1.6016707442 -0.9499368137
H -5.2829934321 -0.2245807857 -1.4480866935
",7,0.0
587,geom-drugs-53d3c00e15882961-c0,53d3c00e15882961,0,19,ok,not_equivalent,none,Not equivalent: non-metal connectivity differs.,suspected_tautomer_protomer,False,False,,True,True,14.72941799875116,,Cn1c(O)c(C=NCc2cccs2)c(=O)n(C)c1=O,CN1C(=O)C(=CNCc2cccs2)C(=O)N(C)C1=O,"32
GEOM DRUGS Cn1c(O)c(C=NCc2cccs2)c(=O)n(C)c1=O conformer 0
C -3.0025714919 -2.7087872864 -0.3910988031
N -2.5979865220 -1.3336430375 -0.1564566435
C -1.3347914920 -1.0775245819 0.3330825115
C -1.0070636295 0.3135725523 0.5345393083
C 0.2418687345 0.6822568844 0.9970204514
N 1.1881363637 -0.1669902193 1.3336005316
C 2.5396133949 0.1997400330 1.6841672246
C 3.4697107007 -0.0408139267 0.5362717671
C 4.2641127992 -1.1218667052 0.3079548581
C 4.9689904585 -1.0382502315 -0.9134322598
C 4.6901901829 0.0992560583 -1.5976828805
S 3.5648037419 1.0967572229 -0.7691640766
H 5.0771967782 0.4203628793 -2.5441624998
H 5.6502057127 -1.7927556280 -1.2626556777
H 4.3511333293 -1.9479912251 0.9907881461
H 2.8573221619 -0.4051050876 2.5391338698
H 2.5514547621 1.2561715813 1.9668777352
H 0.4406277390 1.7436097938 1.1031766532
C -1.9575403926 1.3724014951 0.2488189549
O -1.7259215088 2.5555037710 0.4104459901
N -3.1875288446 0.9435852546 -0.2335541487
C -3.5451707614 -0.3679881451 -0.4479713789
O -4.6371529715 -0.6695658992 -0.8713420021
C -4.1998563270 1.9377493727 -0.5457847489
H -3.7745088656 2.9147958297 -0.3294100852
H -5.0874659724 1.7646422016 0.0619976243
H -4.4761307375 1.8657875881 -1.5972848974
O -0.5569280663 -2.0004936918 0.5686836023
H 0.9559227775 -1.1526574471 1.1704337879
H -3.2465303394 -2.8466777952 -1.4440695307
H -2.1721363037 -3.3500550700 -0.1061980270
H -3.8850226516 -2.9393223359 0.2048805198
",15,0.0
665,geom-drugs-aea7285d2131f405-c12,aea7285d2131f405,12,22,ok,not_equivalent,none,Not equivalent: non-metal connectivity differs.,suspected_tautomer_protomer,False,False,,True,True,18.120961998647545,,CCOC(=O)Cn1c(O)c(N=NC(=O)OC)c2ccccc21,CCOC(=O)CN1C(=O)C(=NNC(=O)OC)c2ccccc21,"37
GEOM DRUGS CCOC(=O)Cn1c(O)c(N=NC(=O)OC)c2ccccc21 conformer 12
C -4.2824472879 -0.1859108617 2.1317205404
C -3.4845922218 -1.4708967536 1.9672182763
H -2.8471958811 -1.6542925721 2.8340028665
H -4.1549513261 -2.3211618908 1.8065753670
O -2.5837944052 -1.3744285224 0.8610598049
C -3.0653872128 -1.6421289440 -0.3478596099
O -4.1832595408 -2.0114557395 -0.5854511165
C -1.9960439419 -1.4291589112 -1.4169399562
N -1.0307691181 -0.4437483221 -1.0240828868
C 0.2858615489 -0.7216661689 -0.7790790481
O 0.8207192252 -1.8045182430 -0.9559483795
C 0.9039149888 0.5436257176 -0.2829230446
N 2.1253435339 0.7440692538 0.0523850014
N 3.0061720780 -0.2432899812 -0.0274400520
C 4.3236350658 -0.0409534168 0.3292167948
O 4.7963455260 0.9830500597 0.7280703572
O 4.9944344280 -1.1952979925 0.1528638608
C 6.3768424116 -1.1481063393 0.4795131437
H 6.8872116067 -0.4030536088 -0.1337656335
H 6.5102754318 -0.8897201898 1.5317485964
H 6.7664072868 -2.1422003017 0.2773218331
H 2.7189459648 -1.1700016693 -0.3540228276
C -0.1620023068 1.5213560567 -0.2413968353
C -0.1992725177 2.8479515699 0.1467771302
C -1.4135573534 3.5162110178 0.0773821313
C -2.5579620852 2.8725353625 -0.3697332667
C -2.5337296834 1.5396715903 -0.7650936586
C -1.3271343849 0.8759081156 -0.6944684187
H -3.4303945513 1.0483673806 -1.1104681374
H -3.4908711210 3.4144192299 -0.4127461840
H -1.4705936163 4.5516642079 0.3762222870
H 0.6978731567 3.3341357368 0.4936105885
H -1.4526202859 -2.3706588165 -1.5604598594
H -2.4890281325 -1.1587514147 -2.3565284272
H -4.8898764549 -0.2473149483 3.0298050962
H -3.6101476632 0.6654926961 2.2116486944
H -4.9362166592 -0.0405623316 1.2752266448
",14,0.0
901,geom-drugs-e6ef79d17e293fd3-c0,e6ef79d17e293fd3,0,30,ok,not_equivalent,none,Not equivalent: non-metal connectivity differs.,Not equivalent: non-metal connectivity differs.,False,False,,True,True,16.048612000304274,,[O-]/C(=C(\C(=S)Nc1ccc(SC(F)F)cc1)[n+]1cccc(CO)c1)c1ccc(Cl)s1,O=C(C1=C(Nc2ccc(SC(F)F)cc2)S[C@@H]2C=CC(CO)=CN12)c1ccc(Cl)s1,"45
GEOM DRUGS [O-]/C(=C(\C(=S)Nc1ccc(SC(F)F)cc1)[n+]1cccc(CO)c1)c1ccc(Cl)s1 conformer 0
O 0.5259686146 2.1800642950 0.3847022680
C 1.3917639715 1.3167580834 0.1269484634
C 1.0581948896 -0.0094702255 -0.2436540051
C -0.2673161444 -0.4369165031 -0.4820632218
N -1.2657301833 0.4130423857 -0.2249357788
C -2.6354768911 0.3280949888 -0.3840360841
C -3.3538439330 1.5175435976 -0.2135809640
C -4.7242556437 1.5358800216 -0.3500360192
C -5.3932878589 0.3567286024 -0.6449864344
C -4.6998943503 -0.8299564197 -0.8091317136
C -3.3254243543 -0.8481357848 -0.6752809746
H -2.7950139844 -1.7792286801 -0.7901945111
H -5.2361602703 -1.7390640768 -1.0312767140
S -7.1768248054 0.3622776042 -0.7940018099
C -7.5788528673 0.3426632032 0.9831763559
F -7.1025878147 1.4313276628 1.6162158902
F -7.0360136631 -0.7229936611 1.6002195086
H -8.6705607282 0.3093682514 1.0963781902
H -5.2763078241 2.4536793275 -0.2206171211
H -2.8200319349 2.4260811586 0.0223756388
H -0.8868030991 1.3323609100 0.0947698730
S -0.4343211821 -2.0198768158 -1.1346543797
C 1.6952503728 -1.9117083429 -1.4004635862
N 2.0012750858 -1.0606028887 -0.3557359104
C 2.6331197221 -1.5310514019 0.7589829059
C 3.2224552094 -2.7511991952 0.7905040802
C 3.0609184680 -3.6082837872 -0.3378046126
C 2.3405930172 -3.1969839517 -1.4042250769
H 2.1907896027 -3.8262436091 -2.2663784984
H 3.5379721161 -4.5761758242 -0.3316623742
C 4.0188971421 -3.2004134446 1.9896465611
H 4.8445855621 -3.8449481995 1.6518519920
O 4.4985735693 -2.1393913324 2.7744526416
H 5.0839392513 -1.5925622244 2.2379134518
H 3.3839350341 -3.7922812272 2.6580124927
H 2.6801175146 -0.8515317313 1.5968040019
H 1.5941955864 -1.4114900008 -2.3592623903
C 2.7997634198 1.7267459719 0.1550296172
C 3.2308070963 2.9452765245 0.6089266100
C 4.6135849202 3.1494439408 0.4677156988
C 5.2300579253 2.0805971101 -0.1108613873
S 4.1270654105 0.7976316047 -0.4815347417
Cl 6.8942665600 1.9214146984 -0.4605948896
H 5.1301146959 4.0400777420 0.7737990612
H 2.5519016937 3.6633368752 1.0316195270
",24,0.0
